"Reference","Mainland","Island","Class","Order","Family","Binomial","Species_main","Species_island","Diet","Sex","Measure","Mean_m","Mean_i","sd_m","sd_i","N_m","N_i","Mean_m_male","Mean_m_female","sd_m_male","sd_m_female","N_m_male","N_m_female","Mean_i_male","Mean_i_female","sd_i_male","sd_i_female","N_i_male","N_i_female","Long_i","Lat_i","Island_km2","Dist_near_mainland","Allometry","Phylogeny","Data_source_type","Paired"
"Donihue et al. 2016","Naxos","Mando","Reptiles","Squamata","Lacertidae","Podarcis erhardii","Podarcis erhardii","Podarcis erhardii","","Both","Weight",9.229,10.771,1.097,1.25,20,61,9.666666667,8.790909091,1.142365966,1.059674049,9,11,11.81142857,9.730769231,1.324158207,1.141496993,35,26,25.3615,37.089,0.025,0.04,"Weight","Conspecific","Island rule","Yes"
"Donihue et al. 2016","Naxos","Nikouria","Reptiles","Squamata","Lacertidae","Podarcis erhardii","Podarcis erhardii","Podarcis erhardii","","Both","Weight",9.229,9.715,1.097,0.913,20,25,9.666666667,8.790909091,1.142365966,1.059674049,9,11,10.675,8.755555556,1.01882285,0.671027405,16,9,25.9095,36.885,2.75,0.36,"Weight","Conspecific","Island rule","Yes"
"Donihue et al. 2016","Naxos","Panagia","Reptiles","Squamata","Lacertidae","Podarcis erhardii","Podarcis erhardii","Podarcis erhardii","","Both","Weight",9.229,12.28,1.097,1.468,20,33,9.666666667,8.790909091,1.142365966,1.059674049,9,11,13.88571429,10.67368421,1.531141928,1.420032122,14,19,25.3606,37.0289,0.004,0.36,"Weight","Conspecific","Island rule","Yes"
"Donihue et al. 2016","Naxos","Schoinoussa","Reptiles","Squamata","Lacertidae","Podarcis erhardii","Podarcis erhardii","Podarcis erhardii","","Both","Weight",9.229,11.263,1.097,0.822,20,23,9.666666667,8.790909091,1.142365966,1.059674049,9,11,12.41818182,10.10833333,0.487479603,1.036127698,11,12,25.5215,36.874,8.83,5.6,"Weight","Conspecific","Island rule","Yes"
"Runemark et al. 2015","Skyros (Molos)","Agiar Molau","Reptiles","Squamata","Lacertidae","Podarcis gaigeae","Podarcis gaigeae","Podarcis gaigeae","","Both","SVL",61.496,65.478,4.832,5.977,478,31,58.39921159,64.59205657,4.24,5.41,251,227,62.61276595,68.34237289,3.99,6.68,10,21,24.5836,38.9245,0.01,0.05,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","Conspecific","Island rule","Yes"
"Runemark et al. 2015","Skyros (Nyfi)","Diabatez","Reptiles","Squamata","Lacertidae","Podarcis gaigeae","Podarcis gaigeae","Podarcis gaigeae","","Both","SVL",61.496,56.594,4.832,5.104,478,101,58.39921159,64.59205657,4.24,5.41,251,227,54.16411764,59.024375,4.18,6.06,56,45,24.5134,38.7888,0.02,1.44,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","Conspecific","Island rule","Yes"
"Runemark et al. 2015","Skyros (AgiosFokas)","Erinia","Reptiles","Squamata","Lacertidae","Podarcis gaigeae","Podarcis gaigeae","Podarcis gaigeae","","Both","SVL",61.496,56.083,4.832,6.205,478,17,58.39921159,64.59205657,4.24,5.41,251,227,53.02514286,59.14116883,5.75,6.58,8,9,24.4316,38.8277,0.55,4.5,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","Conspecific","Island rule","Yes"
"Runemark et al. 2015","Skyros (Atsitsa)","Island of Atsitsa","Reptiles","Squamata","Lacertidae","Podarcis gaigeae","Podarcis gaigeae","Podarcis gaigeae","","Both","SVL",61.496,62.12,4.832,3.015,478,36,58.39921159,64.59205657,4.24,5.41,251,227,60.04842104,64.19235296,2.87,3.14,17,19,24.4633,38.9146,0.04,0.14,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","Conspecific","Island rule","Yes"
"Runemark et al. 2015","Skyros (KyriaPanagia)","Kotsiles","Reptiles","Squamata","Lacertidae","Podarcis gaigeae","Podarcis gaigeae","Podarcis gaigeae","","Both","SVL",61.496,53.951,4.832,5.224,478,36,58.39921159,64.59205657,4.24,5.41,251,227,53.02294118,54.87809525,3.55,6.24,16,20,24.4549,38.9299,0.08,0.24,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","Conspecific","Island rule","Yes"
"Runemark et al. 2015","Skyros (AgiosFokas)","Lakonissi","Reptiles","Squamata","Lacertidae","Podarcis gaigeae","Podarcis gaigeae","Podarcis gaigeae","","Both","SVL",61.496,55.244,4.832,6.144,478,106,58.39921159,64.59205657,4.24,5.41,251,227,52.35241379,58.1361111,6.17,6.11,59,47,24.4749,38.8489,0.016,0.666,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","Conspecific","Island rule","Yes"
"Pafilis et al. 2011","Skyros","Exo Diavates","Reptiles","Squamata","Lacertidae","Podarcis gaigeae","Podarcis gaigeae","Podarcis gaigeae","","Both","SVL",58.565,77.57,NA,NA,285,112,61.43,55.7,4.92,4.2,183,102,85.34,69.8,2.9,5.5,69,43,24.513,38.789,0.019,1.4,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","Conspecific","Island rule","Yes"
"Pafilis et al. 2011","Skyros","Lakonissi","Reptiles","Squamata","Lacertidae","Podarcis gaigeae","Podarcis gaigeae","Podarcis gaigeae","","Both","SVL",58.565,67.24,NA,NA,285,102,61.43,55.7,4.92,4.2,183,102,72.13,62.35,5.3,3.9,64,38,24.475,38.849,0.016,0.666,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","Conspecific","Island rule","Yes"
"Pafilis et al. 2009","Skyros","Mesa Diavates","Reptiles","Squamata","Lacertidae","Podarcis gaigeae","Podarcis gaigeae","Podarcis gaigeae","","Both","SVL",58.505,62.05,NA,NA,286,71,61.36,55.65,NA,NA,185,101,66.12,57.98,NA,NA,46,25,24.525,38.797,0.0384,1.4,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","Conspecific","Island rule","Yes"
"Pafilis et al. 2009","Skyros","Valaxa","Reptiles","Squamata","Lacertidae","Podarcis gaigeae","Podarcis gaigeae","Podarcis gaigeae","","Both","SVL",58.505,60.81,NA,NA,286,52,61.36,55.65,NA,NA,185,101,64.55,57.07,NA,NA,33,19,24.494,38.82,4.33,0.14,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","Conspecific","Island rule","Yes"
"Pafilis et al. 2016","Skyros","Mesa Diavates","Reptiles","Squamata","Lacertidae","Podarcis gaigeae","Podarcis gaigeae","Podarcis gaigeae","","Male","Weight",6.01,14.62,NA,NA,43,25,6.01,NA,0.5,NA,43,NA,14.62,NA,2.89,NA,25,NA,24.525,38.797,0.0384,1.4,"Weight","Conspecific","Island rule","Yes"
"Galan 2003, Sá-Sousa 2002","N Portugal","Cies","Reptiles","Squamata","Lacertidae","Podarcis hispanicus","Podarcis hispanica","Podarcis hispanica","","Female","SVL",51.01,53,3.53,4.315,12,34,NA,51.01,NA,3.53,NA,12,NA,53,NA,4.31,NA,34,-8.909,42.217,1.82,4.3,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","Conspecific","Island rule","No"
"Taverne et al. 2019","Croatia","Brusnik","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis","","Both","SVL",58.492,64.864,NA,NA,16,42,60.67253446,56.31069106,NA,NA,11,5,68.30257564,61.42553842,NA,NA,20,22,15.8,43.006,0.052,56.6,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","Conspecific","Island rule","Yes"
"Taverne et al. 2019","Croatia","Glavat","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis","","Both","SVL",58.492,63.958,NA,NA,16,21,60.67253446,56.31069106,NA,NA,11,5,65.27050765,62.64562647,NA,NA,12,9,17.146,42.765,0.026,14.5,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","Conspecific","Island rule","Yes"
"Taverne et al. 2019","Croatia","Grebeni","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis","","Both","SVL",58.492,60.342,NA,NA,16,30,60.67253446,56.31069106,NA,NA,11,5,63.93203351,56.75105826,NA,NA,18,12,16.266,43.05,0.0457,48.3,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","Conspecific","Island rule","Yes"
"Taverne et al. 2019","Croatia","Jabuka","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis","","Both","SVL",58.492,66.379,NA,NA,16,38,60.67253446,56.31069106,NA,NA,11,5,70.37251866,62.38542187,NA,NA,17,21,15.458,43.075,0.01,63,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","Conspecific","Island rule","Yes"
"Taverne et al. 2019","Croatia","Korcula","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis","","Both","SVL",58.492,48.497,NA,NA,16,18,60.67253446,56.31069106,NA,NA,11,5,48.99867768,47.99520846,NA,NA,11,7,16.918,42.934,279,1.63,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","Conspecific","Island rule","Yes"
"Taverne et al. 2019","Croatia","Mali Barjak","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis","","Both","SVL",58.492,63.046,NA,NA,16,32,60.67253446,56.31069106,NA,NA,11,5,67.40297419,58.68820397,NA,NA,18,14,16.0395,43.0527,0.0046,0.75,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","Conspecific","Island rule","Yes"
"Taverne et al. 2019","Croatia","Mali Paržanj","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis","","Both","SVL",58.492,60.508,NA,NA,16,25,60.67253446,56.31069106,NA,NA,11,5,64.52956114,56.48551017,NA,NA,12,13,16.251,43.0385,0.0229,0.87,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","Conspecific","Island rule","Yes"
"Taverne et al. 2019","Croatia","Ravnik","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis","","Both","SVL",58.492,58.764,NA,NA,16,17,60.67253446,56.31069106,NA,NA,11,5,60.94522715,56.58183823,NA,NA,11,6,16.2265,43.0178,0.28,0.51,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","Conspecific","Island rule","Yes"
"Taverne et al. 2019","Croatia","Veli Barjak","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis","","Both","SVL",58.492,58.199,NA,NA,16,40,60.67253446,56.31069106,NA,NA,11,5,60.32805612,56.06941917,NA,NA,21,19,16.0448,43.0544,0.0146,0.24,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","Conspecific","Island rule","Yes"
"Taverne et al. 2019","Croatia","Veli Budikovac","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis","","Both","SVL",58.492,61.685,NA,NA,16,34,60.67253446,56.31069106,NA,NA,11,5,66.51207755,56.85870713,NA,NA,17,17,16.2425,43.0261,0.32,0.78,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","Conspecific","Island rule","Yes"
"Taverne et al. 2019","Croatia","Veli Tajan","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis","","Both","SVL",58.492,57.7,NA,NA,16,15,60.67253446,56.31069106,NA,NA,11,5,60.96090191,54.43926064,NA,NA,8,7,16.9918,42.8158,0.0162,6.8,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","Conspecific","Island rule","Yes"
"Bejakovic et al. 1995","Lake Skadar, Montenegro (Bistrica)","Mali Moracnik","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis","","Female","SVL",58.33,63.38,3.143,2.996,14,20,NA,58.33,NA,3.142992205,NA,14,NA,63.38,NA,2.99633109,NA,20,19.255,42.141,0.007,0.237,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","Conspecific","No island rule","Yes"
"Bejakovic et al. 1995","Lake Skadar, Montenegro (Bistrica)","Malo Besko","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis","","Female","SVL",58.33,67.02,3.143,2.783,14,10,NA,58.33,NA,3.142992205,NA,14,NA,67.02,NA,2.782804341,NA,10,19.235,42.157,0.017,0.452,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","Conspecific","No island rule","Yes"
"Brecko et al. 2008, Stamekovic and Matic 2013","Croatia, Montenegro","Lastovo","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis","","Both","SVL",51.668,61.215,7.762,1.936,137,130,53.67,49.67,8.398088018,7.035719634,70,67,65.42,57.01,1.98,1.66,110,20,16.873,42.751,52.7,51,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","Conspecific","No island rule","No"
"Huyghe et al. 2007, Stamekovic and Matic 2013","Croatia, Montenegro","Lastovo","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis","","Male","SVL",53.671,63.892,8.398,3.477,70,413,53.67,49.67,8.398088018,7.035719634,70,67,63.89200969,NA,3.477232499,NA,413,NA,16.873,42.751,52.7,51,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","Conspecific","No island rule","No"
"Clover 1979, Stamenkovic and Matic 2013","Croatia, Montenegro","Kamik","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis galvagnii","","Male","SVL",53.671,69.8,8.398,3.283,70,22,53.67,49.67,8.398088018,7.035719634,70,67,69.8,NA,3.28,NA,22,NA,15.71,43.0198,0.01,57,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","Conspecific","Island rule","No"
"Clover 1979, Stamenkovic and Matic 2013","Croatia, Montenegro","Babina Guzica","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis kornatica","","Male","SVL",53.671,59.1,8.398,3.518,70,26,53.67,49.67,8.398088018,7.035719634,70,67,59.1,NA,3.52,NA,26,NA,15.498,43.709,0.0117,15,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","Conspecific","Island rule","No"
"Clover 1979, Stamenkovic and Matic 2013","Croatia, Montenegro","Cavlin","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis kornatica","","Male","SVL",53.671,60.9,8.398,4.093,70,29,53.67,49.67,8.398088018,7.035719634,70,67,60.9,NA,4.09,NA,29,NA,15.582,43.735,0.141,9.5,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","Conspecific","Island rule","No"
"Clover 1979, Stamenkovic and Matic 2013","Croatia, Montenegro","Mrtovenjak","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis kornatica","","Male","SVL",53.671,57.4,8.398,2.959,70,38,53.67,49.67,8.398088018,7.035719634,70,67,57.4,NA,2.96,NA,38,NA,15.594,43.722,0.09,9,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","Conspecific","Island rule","No"
"Clover 1979, Stamenkovic and Matic 2013","Croatia, Montenegro","Purara","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis kornatica","","Male","SVL",53.671,62.1,8.398,4.283,70,26,53.67,49.67,8.398088018,7.035719634,70,67,62.1,NA,4.28,NA,26,NA,15.437,43.696,0.016,19.8,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","Conspecific","Island rule","No"
"Clover 1979, Stamenkovic and Matic 2013","Croatia, Montenegro","Vrtlic","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis kornatica","","Male","SVL",53.671,58.5,8.398,4.34,70,14,53.67,49.67,8.398088018,7.035719634,70,67,58.5,NA,4.34,NA,14,NA,15.546,43.692,0.004,14.3,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","Conspecific","Island rule","No"
"Clover 1979, Stamenkovic and Matic 2013","Croatia, Montenegro","Bisevo","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis lissana","","Male","SVL",53.671,48.9,8.398,9.766,70,14,53.67,49.67,8.398088018,7.035719634,70,67,48.9,NA,9.77,NA,14,NA,16.01,42.975,5.8,54,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","Conspecific","Island rule","No"
"Clover 1979, Stamenkovic and Matic 2013","Croatia, Montenegro","Grebeni","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis lissana","","Male","SVL",53.671,62.3,8.398,3.989,70,15,53.67,49.67,8.398088018,7.035719634,70,67,62.3,NA,3.99,NA,15,NA,16.266,43.05,0.0457,48.3,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","Conspecific","Island rule","No"
"Clover 1979, Stamenkovic and Matic 2013","Croatia, Montenegro","Lastovo","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis lissana","","Male","SVL",53.671,62.016,8.398,4.18,70,31,53.67,49.67,8.398088018,7.035719634,70,67,62.016,NA,4.18,NA,31,NA,16.873,42.751,52.7,51,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","Conspecific","Island rule","No"
"Clover 1979, Stamenkovic and Matic 2013","Croatia, Montenegro","Pod Mrcaru","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis lissana","","Male","SVL",53.671,60.8,8.398,3.447,70,15,53.67,49.67,8.398088018,7.035719634,70,67,60.8,NA,3.45,NA,15,NA,16.774,42.779,0.0146,31.45,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","Conspecific","Island rule","No"
"Clover 1979, Stamenkovic and Matic 2013","Croatia, Montenegro","Vis","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis lissana","","Male","SVL",53.671,53.1,8.398,9.306,70,8,53.67,49.67,8.398088018,7.035719634,70,67,53.1,NA,9.31,NA,8,NA,16.1485,43.04,90.03,44,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","Conspecific","Island rule","No"
"Clover 1979, Stamenkovic and Matic 2013","Croatia, Montenegro","Brusnik","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis melisellensis","","Male","SVL",53.671,61.8,8.398,4.83,70,20,53.67,49.67,8.398088018,7.035719634,70,67,61.8,NA,4.83,NA,20,NA,15.8,43.006,0.052,56.6,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","Conspecific","Island rule","No"
"Clover 1979, Stamenkovic and Matic 2013","Croatia, Montenegro","Mikavica","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis mikavicae","","Male","SVL",53.671,56.5,8.398,5.231,70,12,53.67,49.67,8.398088018,7.035719634,70,67,56.5,NA,5.23,NA,12,NA,15.615,43.679,0.006,11.4,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","Conspecific","Island rule","No"
"Clover 1979, Stamenkovic and Matic 2013","Croatia, Montenegro","Jabuka","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis pomoensis","","Male","SVL",53.671,63.5,8.398,10.409,70,8,53.67,49.67,8.398088018,7.035719634,70,67,63.5,NA,10.41,NA,8,NA,15.458,43.075,0.01,63,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","Conspecific","Island rule","No"
"Clover 1979, Stamenkovic and Matic 2013","Croatia, Montenegro","Veli Puh","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis thetidis","","Male","SVL",53.671,64.7,8.398,2.191,70,20,53.67,49.67,8.398088018,7.035719634,70,67,64.7,NA,2.19,NA,20,NA,15.512,43.677,0.013,17.11,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","Conspecific","Island rule","No"
"Clover 1979, Stamenkovic and Matic 2013","Croatia, Montenegro","Ciovo","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis traguriana","","Male","SVL",53.671,49,8.398,12.301,70,10,53.67,49.67,8.398088018,7.035719634,70,67,49,NA,12.3,NA,10,NA,16.305,43.499,28.8,0.2,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","Conspecific","Island rule","No"
"Clover 1979, Stamenkovic and Matic 2013","Croatia, Montenegro","Krpeljina","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis undescribed","","Male","SVL",53.671,59.9,8.398,2.737,70,12,53.67,49.67,8.398088018,7.035719634,70,67,59.9,NA,2.74,NA,12,NA,15.406,43.754,0.0126,17,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","Conspecific","Island rule","No"
"Clover 1979, Stamenkovic and Matic 2013","Croatia, Montenegro","Mrvenjak","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis undescribed","","Male","SVL",53.671,59,8.398,4.64,70,26,53.67,49.67,8.398088018,7.035719634,70,67,59,NA,4.64,NA,26,NA,15.516,43.83,0.64,4.4,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","Conspecific","Island rule","No"
"Clover 1979, Stamenkovic and Matic 2013","Croatia, Montenegro","Svetac","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis undescribed","","Male","SVL",53.671,57.8,8.398,3.67,70,17,53.67,49.67,8.398088018,7.035719634,70,67,57.8,NA,3.67,NA,17,NA,15.747,43.025,4.6,54.3,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","Conspecific","Island rule","No"
"Clover 1979, Stamenkovic and Matic 2013","Croatia, Montenegro","Tajan","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis undescribed","","Male","SVL",53.671,63.5,8.398,2.944,70,12,53.67,49.67,8.398088018,7.035719634,70,67,63.5,NA,2.944486373,NA,12,NA,17.798,42.7578,0.013,2.7,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","Conspecific","Island rule","No"
"Clover 1979, Stamenkovic and Matic 2013","Croatia, Montenegro","Vodeni Puh","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis undescribed","","Male","SVL",53.671,66.3,8.398,5.612,70,12,53.67,49.67,8.398088018,7.035719634,70,67,66.3,NA,5.61,NA,12,NA,15.518,43.676,0.009,17,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","Conspecific","Island rule","No"
